lot_id,alarm_id,sensor_value,sigma_deviation
LOT_0009,SPC_ATTR_160,5781.0,4.9828
LOT_0009,SPC_ATTR_161,2900.0,4.079
LOT_0009,SPC_ATTR_164,0.912,6.3268
LOT_0009,SPC_ATTR_165,1.766,6.7539
LOT_0009,SPC_ATTR_166,3.039,6.8421
LOT_0009,SPC_ATTR_295,2803.1611,5.0337
LOT_0009,SPC_ATTR_296,1377.7589,3.967
LOT_0009,SPC_ATTR_299,0.4553,6.0957
LOT_0009,SPC_ATTR_300,0.882,6.2812
LOT_0009,SPC_ATTR_301,1.5118,6.3584
LOT_0009,SPC_ATTR_431,137.7577,3.3094
LOT_0009,SPC_ATTR_432,140.8109,3.2546
LOT_0009,SPC_ATTR_435,133.5286,3.4828
LOT_0009,SPC_ATTR_436,133.4845,3.6111
LOT_0009,SPC_ATTR_437,134.0243,3.6609
LOT_0009,SPC_ATTR_486,892.1933,3.1601
LOT_0010,SPC_ATTR_038,65.0665,-3.7968
LOT_0010,SPC_ATTR_485,979.8817,3.5875
LOT_0011,SPC_ATTR_022,-2727.5,4.612
LOT_0011,SPC_ATTR_023,1400.0,-4.3972
LOT_0011,SPC_ATTR_026,0.455,-4.2165
LOT_0011,SPC_ATTR_027,0.8847,-5.561
LOT_0011,SPC_ATTR_028,1.532,-4.1042
LOT_0011,SPC_ATTR_039,84.7327,-4.7092
LOT_0011,SPC_ATTR_160,5655.0,4.8546
LOT_0011,SPC_ATTR_161,2942.0,4.1521
LOT_0011,SPC_ATTR_164,0.921,6.4005
LOT_0011,SPC_ATTR_165,1.779,6.8075
LOT_0011,SPC_ATTR_166,3.077,6.9354
LOT_0011,SPC_ATTR_196,4.617,10.9566
LOT_0011,SPC_ATTR_295,3153.6764,5.7685
LOT_0011,SPC_ATTR_296,1620.7332,4.8239
LOT_0011,SPC_ATTR_299,0.5255,7.1887
LOT_0011,SPC_ATTR_300,1.0217,7.349
LOT_0011,SPC_ATTR_301,1.769,7.532
LOT_0011,SPC_ATTR_332,0.6542,9.0023
LOT_0011,SPC_ATTR_431,207.3327,5.2388
LOT_0011,SPC_ATTR_432,210.1429,5.1596
LOT_0011,SPC_ATTR_435,202.4176,5.5025
LOT_0011,SPC_ATTR_436,201.0737,5.5777
LOT_0011,SPC_ATTR_437,200.8486,5.5945
LOT_0011,SPC_ATTR_468,102.9947,11.1535
LOT_0011,SPC_ATTR_559,1.3569,4.3154
LOT_0011,SPC_ATTR_561,0.2722,3.8729
LOT_0012,SPC_ATTR_089,1632.312,-3.2781
LOT_0013,SPC_ATTR_038,65.1951,-3.374
LOT_0013,SPC_ATTR_056,2936.0,3.1002
LOT_0013,SPC_ATTR_561,0.271,3.8496
LOT_0014,SPC_ATTR_013,226.0086,7.998
LOT_0014,SPC_ATTR_019,215.5977,9.1873
LOT_0014,SPC_ATTR_020,10.7029,-8.1579
LOT_0014,SPC_ATTR_038,65.1111,-3.6502
LOT_0014,SPC_ATTR_156,12.71,10.8718
LOT_0014,SPC_ATTR_291,4.4163,15.8416
LOT_0014,SPC_ATTR_367,0.012,3.0168
LOT_0014,SPC_ATTR_429,118.7533,10.7717
LOT_0015,SPC_ATTR_022,-1431.5,6.6796
LOT_0015,SPC_ATTR_023,619.5,-7.0385
LOT_0015,SPC_ATTR_026,0.2328,-5.4676
LOT_0015,SPC_ATTR_027,0.439,-7.913
LOT_0015,SPC_ATTR_028,0.7672,-4.7189
LOT_0015,SPC_ATTR_039,88.3312,3.3455
LOT_0015,SPC_ATTR_090,1.3861,22.8629
LOT_0015,SPC_ATTR_160,5726.0,4.9269
LOT_0015,SPC_ATTR_161,2478.0,3.3449
LOT_0015,SPC_ATTR_164,0.931,6.4825
LOT_0015,SPC_ATTR_165,1.756,6.7127
LOT_0015,SPC_ATTR_166,3.069,6.9157
LOT_0015,SPC_ATTR_225,0.9851,12.9998
LOT_0015,SPC_ATTR_295,2863.0,5.1592
LOT_0015,SPC_ATTR_296,1239.0,3.4776
LOT_0015,SPC_ATTR_299,0.4655,6.2545
LOT_0015,SPC_ATTR_300,0.878,6.2506
LOT_0015,SPC_ATTR_301,1.5345,6.4619
LOT_0015,SPC_ATTR_363,0.3087,13.4133
LOT_0015,SPC_ATTR_431,400.0,10.5817
LOT_0015,SPC_ATTR_432,400.0,10.3761
LOT_0015,SPC_ATTR_435,400.0,11.2952
LOT_0015,SPC_ATTR_436,400.0,11.3655
LOT_0015,SPC_ATTR_437,400.0,11.3574
LOT_0016,SPC_ATTR_022,-2694.75,4.6642
LOT_0016,SPC_ATTR_023,1476.25,-4.1392
LOT_0016,SPC_ATTR_026,0.4495,-4.2474
LOT_0016,SPC_ATTR_027,0.8882,-5.5425
LOT_0016,SPC_ATTR_028,1.4915,-4.1367
LOT_0016,SPC_ATTR_039,88.3312,3.3455
LOT_0016,SPC_ATTR_090,1.4727,24.5164
LOT_0016,SPC_ATTR_160,5803.0,5.0052
LOT_0016,SPC_ATTR_161,3530.0,5.175
LOT_0016,SPC_ATTR_164,0.942,6.5727
LOT_0016,SPC_ATTR_165,1.801,6.8982
LOT_0016,SPC_ATTR_166,3.042,6.8494
LOT_0016,SPC_ATTR_225,1.4361,19.3331
LOT_0016,SPC_ATTR_295,3129.8922,5.7186
LOT_0016,SPC_ATTR_296,1768.6406,5.3456
LOT_0016,SPC_ATTR_299,0.5202,7.1062
LOT_0016,SPC_ATTR_300,1.0259,7.3811
LOT_0016,SPC_ATTR_301,1.7229,7.3216
LOT_0016,SPC_ATTR_363,0.4163,18.3846
LOT_0016,SPC_ATTR_431,215.3447,5.461
LOT_0016,SPC_ATTR_432,239.1194,5.9557
LOT_0016,SPC_ATTR_435,209.5662,5.7121
LOT_0016,SPC_ATTR_436,202.7582,5.6267
LOT_0016,SPC_ATTR_437,203.9557,5.6845
LOT_0016,SPC_ATTR_511,263.4538,5.5102
LOT_0017,SPC_ATTR_485,981.4324,3.5948
LOT_0017,SPC_ATTR_559,1.3569,4.3154
LOT_0017,SPC_ATTR_561,0.2722,3.8729
LOT_0018,SPC_ATTR_079,-0.3482,-6.9886
LOT_0018,SPC_ATTR_176,1.172,3.3868
LOT_0018,SPC_ATTR_214,1.2837,23.0691
LOT_0018,SPC_ATTR_218,0.5522,10.3832
LOT_0018,SPC_ATTR_311,0.4438,3.1994
LOT_0018,SPC_ATTR_352,0.6188,24.0694
LOT_0018,SPC_ATTR_356,0.2548,9.8739
LOT_0018,SPC_ATTR_447,1.7639,3.343
LOT_0020,SPC_ATTR_038,65.1951,-3.374
LOT_0020,SPC_ATTR_056,2936.0,3.1002
LOT_0020,SPC_ATTR_209,172.349,3.5303
LOT_0020,SPC_ATTR_345,55.7952,3.6624
LOT_0020,SPC_ATTR_511,349.2063,7.7853
LOT_0021,SPC_ATTR_038,65.0894,-3.7215
LOT_0022,SPC_ATTR_102,0.0009,4.1041
LOT_0022,SPC_ATTR_108,-0.3074,-3.494
LOT_0022,SPC_ATTR_219,7.3083,3.0218
LOT_0022,SPC_ATTR_491,106.0296,3.0293
LOT_0024,SPC_ATTR_022,-2664.25,4.7129
LOT_0024,SPC_ATTR_023,1542.0,-3.9167
LOT_0024,SPC_ATTR_026,0.4425,-4.2869
LOT_0024,SPC_ATTR_027,0.8915,-5.5251
LOT_0024,SPC_ATTR_028,1.4838,-4.1429
LOT_0024,SPC_ATTR_039,88.3312,3.3455
LOT_0024,SPC_ATTR_160,5665.0,4.8648
LOT_0024,SPC_ATTR_161,3623.0,5.3368
LOT_0024,SPC_ATTR_164,0.915,6.3514
LOT_0024,SPC_ATTR_165,1.802,6.9024
LOT_0024,SPC_ATTR_166,3.043,6.8519
LOT_0024,SPC_ATTR_248,0.2587,3.0701
LOT_0024,SPC_ATTR_295,3088.6554,5.6322
LOT_0024,SPC_ATTR_296,1834.1299,5.5766
LOT_0024,SPC_ATTR_299,0.5115,6.9707
LOT_0024,SPC_ATTR_300,1.0295,7.4086
LOT_0024,SPC_ATTR_301,1.7144,7.2828
LOT_0024,SPC_ATTR_431,212.6302,5.3857
LOT_0024,SPC_ATTR_432,234.9546,5.8413
LOT_0024,SPC_ATTR_434,930.9577,3.213
LOT_0024,SPC_ATTR_435,206.7797,5.6304
LOT_0024,SPC_ATTR_436,202.1312,5.6084
LOT_0024,SPC_ATTR_437,205.0885,5.7172
LOT_0025,SPC_ATTR_022,-2681.75,4.685
LOT_0025,SPC_ATTR_023,1496.25,-4.0715
LOT_0025,SPC_ATTR_026,0.443,-4.284
LOT_0025,SPC_ATTR_027,0.8862,-5.5531
LOT_0025,SPC_ATTR_028,1.4365,-4.1809
LOT_0025,SPC_ATTR_039,88.2425,3.147
LOT_0025,SPC_ATTR_160,5366.0,4.5607
LOT_0025,SPC_ATTR_161,3130.0,4.4791
LOT_0025,SPC_ATTR_164,0.89,6.1464
LOT_0025,SPC_ATTR_165,1.776,6.7952
LOT_0025,SPC_ATTR_166,2.904,6.5106
LOT_0025,SPC_ATTR_295,3096.6188,5.6489
LOT_0025,SPC_ATTR_296,1731.3645,5.2141
LOT_0025,SPC_ATTR_299,0.5115,6.9707
LOT_0025,SPC_ATTR_300,1.0234,7.362
LOT_0025,SPC_ATTR_301,1.6589,7.0296
LOT_0025,SPC_ATTR_431,200.0932,5.038
LOT_0025,SPC_ATTR_432,209.1896,5.1334
LOT_0025,SPC_ATTR_435,200.9029,5.4581
LOT_0025,SPC_ATTR_436,200.3949,5.5579
LOT_0025,SPC_ATTR_437,202.158,5.6324
LOT_0026,SPC_ATTR_022,-2706.0,4.6463
LOT_0026,SPC_ATTR_023,1445.75,-4.2424
LOT_0026,SPC_ATTR_026,0.4515,-4.2362
LOT_0026,SPC_ATTR_027,0.8895,-5.5356
LOT_0026,SPC_ATTR_028,1.5685,-4.0748
LOT_0026,SPC_ATTR_160,5913.0,5.1171
LOT_0026,SPC_ATTR_161,3301.0,4.7766
LOT_0026,SPC_ATTR_164,0.95,6.6383
LOT_0026,SPC_ATTR_165,1.804,6.9106
LOT_0026,SPC_ATTR_166,3.217,7.2791
LOT_0026,SPC_ATTR_295,3151.2826,5.7635
LOT_0026,SPC_ATTR_296,1702.5621,5.1125
LOT_0026,SPC_ATTR_299,0.5228,7.1467
LOT_0026,SPC_ATTR_300,1.0273,7.3918
LOT_0026,SPC_ATTR_301,1.8123,7.7296
LOT_0026,SPC_ATTR_360,0.0456,3.6099
LOT_0026,SPC_ATTR_431,218.5144,5.5489
LOT_0026,SPC_ATTR_432,228.3244,5.6591
LOT_0026,SPC_ATTR_435,210.4097,5.7368
LOT_0026,SPC_ATTR_436,202.8106,5.6282
LOT_0026,SPC_ATTR_437,205.1004,5.7176
LOT_0027,SPC_ATTR_038,64.9193,-4.2808
LOT_0027,SPC_ATTR_212,0.1774,4.8248
LOT_0027,SPC_ATTR_350,0.0733,4.5315
LOT_0028,SPC_ATTR_038,65.1893,-3.3931
LOT_0028,SPC_ATTR_072,204.8898,3.1771
LOT_0028,SPC_ATTR_109,0.278,3.3287
LOT_0028,SPC_ATTR_119,0.5633,-4.3337
LOT_0028,SPC_ATTR_220,0.0117,5.1312
LOT_0028,SPC_ATTR_254,0.4472,18.4608
LOT_0028,SPC_ATTR_358,0.0036,5.1916
LOT_0028,SPC_ATTR_392,0.1375,18.7806
LOT_0028,SPC_ATTR_492,8.2199,4.7189
LOT_0028,SPC_ATTR_526,79.3919,18.8328
LOT_0029,SPC_ATTR_039,85.1414,-3.7944
LOT_0029,SPC_ATTR_040,111.7128,-3.855
LOT_0029,SPC_ATTR_080,0.0775,3.2081
LOT_0030,SPC_ATTR_039,88.3548,3.3983
LOT_0030,SPC_ATTR_559,1.5024,6.0505
LOT_0031,SPC_ATTR_033,101.9072,8.1763
LOT_0031,SPC_ATTR_034,23.3453,10.6995
LOT_0031,SPC_ATTR_035,57.6663,5.9898
LOT_0031,SPC_ATTR_036,74.7081,3.943
LOT_0031,SPC_ATTR_037,42.3337,-5.9898
LOT_0031,SPC_ATTR_040,126.5662,4.364
LOT_0031,SPC_ATTR_080,0.0729,3.0088
LOT_0032,SPC_ATTR_039,88.2847,3.2414
LOT_0032,SPC_ATTR_080,0.079,3.2731
LOT_0032,SPC_ATTR_091,7397.31,-3.6088
LOT_0033,SPC_ATTR_126,0.3122,-3.1108
LOT_0033,SPC_ATTR_162,19038.0,3.5316
LOT_0033,SPC_ATTR_297,9195.3919,3.7042
LOT_0034,SPC_ATTR_022,-2622.5,4.7795
LOT_0034,SPC_ATTR_023,1550.0,-3.8896
LOT_0034,SPC_ATTR_026,0.446,-4.2671
LOT_0034,SPC_ATTR_027,0.8912,-5.5267
LOT_0034,SPC_ATTR_028,1.5313,-4.1047
LOT_0034,SPC_ATTR_126,0.3122,-3.1108
LOT_0034,SPC_ATTR_160,5575.0,4.7733
LOT_0034,SPC_ATTR_161,3511.0,5.142
LOT_0034,SPC_ATTR_164,0.918,6.376
LOT_0034,SPC_ATTR_165,1.799,6.89
LOT_0034,SPC_ATTR_166,3.098,6.9869
LOT_0034,SPC_ATTR_295,3040.1658,5.5306
LOT_0034,SPC_ATTR_296,1820.9743,5.5302
LOT_0034,SPC_ATTR_299,0.5154,7.0315
LOT_0034,SPC_ATTR_300,1.0292,7.4063
LOT_0034,SPC_ATTR_301,1.7684,7.5293
LOT_0034,SPC_ATTR_431,212.5834,5.3844
LOT_0034,SPC_ATTR_432,226.5161,5.6094
LOT_0034,SPC_ATTR_435,205.8296,5.6025
LOT_0034,SPC_ATTR_436,201.8513,5.6003
LOT_0034,SPC_ATTR_437,202.3184,5.6371
LOT_0035,SPC_ATTR_038,65.1893,-3.3931
LOT_0035,SPC_ATTR_062,9.5543,-3.1608
LOT_0035,SPC_ATTR_109,0.3659,4.3418
LOT_0035,SPC_ATTR_220,0.0117,5.1312
LOT_0035,SPC_ATTR_358,0.0036,5.1916
LOT_0035,SPC_ATTR_492,8.2199,4.7189
LOT_0036,SPC_ATTR_038,65.1902,-3.3901
LOT_0036,SPC_ATTR_126,0.3122,-3.1108
LOT_0036,SPC_ATTR_559,1.3569,4.3154
LOT_0036,SPC_ATTR_561,0.2722,3.8729
LOT_0037,SPC_ATTR_022,-1362.0,6.7904
LOT_0037,SPC_ATTR_023,710.25,-6.7314
LOT_0037,SPC_ATTR_026,0.224,-5.5171
LOT_0037,SPC_ATTR_027,0.4407,-7.904
LOT_0037,SPC_ATTR_028,0.7198,-4.7569
LOT_0037,SPC_ATTR_039,88.3548,3.3983
LOT_0037,SPC_ATTR_072,200.0261,3.0234
LOT_0037,SPC_ATTR_160,5448.0,4.6441
LOT_0037,SPC_ATTR_161,2841.0,3.9764
LOT_0037,SPC_ATTR_164,0.896,6.1956
LOT_0037,SPC_ATTR_165,1.763,6.7416
LOT_0037,SPC_ATTR_166,2.879,6.4493
LOT_0037,SPC_ATTR_225,0.2743,3.0182
LOT_0037,SPC_ATTR_295,2724.0,4.8678
LOT_0037,SPC_ATTR_296,1420.5,4.1177
LOT_0037,SPC_ATTR_299,0.448,5.982
LOT_0037,SPC_ATTR_300,0.8815,6.2773
LOT_0037,SPC_ATTR_301,1.4395,6.0284
LOT_0037,SPC_ATTR_363,0.0841,3.0363
LOT_0037,SPC_ATTR_431,400.0,10.5817
LOT_0037,SPC_ATTR_432,400.0,10.3761
LOT_0037,SPC_ATTR_435,400.0,11.2952
LOT_0037,SPC_ATTR_436,400.0,11.3655
LOT_0037,SPC_ATTR_437,400.0,11.3574
LOT_0037,SPC_ATTR_497,122.1544,3.7483
LOT_0038,SPC_ATTR_039,88.3548,3.3983
LOT_0039,SPC_ATTR_039,84.7327,-4.7092
LOT_0039,SPC_ATTR_056,2936.0,3.1002
LOT_0039,SPC_ATTR_511,172.0755,3.0859
LOT_0039,SPC_ATTR_551,90.7,14.8354
LOT_0039,SPC_ATTR_552,25.47,17.8084
LOT_0039,SPC_ATTR_554,38.4212,14.0092
LOT_0039,SPC_ATTR_555,11.16,17.7946
LOT_0039,SPC_ATTR_557,23.0201,14.6899
LOT_0039,SPC_ATTR_558,35.5806,18.1549
LOT_0039,SPC_ATTR_559,1.5021,6.0469
LOT_0040,SPC_ATTR_033,101.9072,8.1763
LOT_0040,SPC_ATTR_034,23.3453,10.6995
LOT_0040,SPC_ATTR_035,57.6663,5.9898
LOT_0040,SPC_ATTR_036,74.7081,3.943
LOT_0040,SPC_ATTR_037,42.3337,-5.9898
LOT_0040,SPC_ATTR_040,126.5662,4.364
LOT_0041,SPC_ATTR_161,4170.0,6.2884
LOT_0041,SPC_ATTR_213,0.1536,3.2354
LOT_0041,SPC_ATTR_296,2005.8744,6.1823
LOT_0041,SPC_ATTR_351,0.0673,3.0782
LOT_0041,SPC_ATTR_433,582.364,3.8276
LOT_0041,SPC_ATTR_485,887.8613,3.1557
LOT_0042,SPC_ATTR_126,0.3122,-3.1108
LOT_0042,SPC_ATTR_173,0.5484,3.2043
LOT_0042,SPC_ATTR_175,0.5484,3.2042
LOT_0042,SPC_ATTR_444,1.0851,3.1428
LOT_0042,SPC_ATTR_446,1.1087,3.268
LOT_0043,SPC_ATTR_039,88.2074,3.0684
LOT_0043,SPC_ATTR_126,0.3122,-3.1108
LOT_0043,SPC_ATTR_561,0.271,3.8496
LOT_0044,SPC_ATTR_002,2748.67,3.1442
LOT_0044,SPC_ATTR_062,9.5055,-3.3384
LOT_0044,SPC_ATTR_077,-0.1394,-3.3133
LOT_0044,SPC_ATTR_522,1000.0,9.5846
LOT_0045,SPC_ATTR_027,1.3322,-3.1994
LOT_0045,SPC_ATTR_028,2.323,-3.4685
LOT_0045,SPC_ATTR_160,7569.0,6.8017
LOT_0045,SPC_ATTR_161,3309.0,4.7906
LOT_0045,SPC_ATTR_164,0.926,6.4415
LOT_0045,SPC_ATTR_165,1.804,6.9106
LOT_0045,SPC_ATTR_166,3.1,6.9918
LOT_0045,SPC_ATTR_295,3280.8927,6.0352
LOT_0045,SPC_ATTR_296,1471.4602,4.2975
LOT_0045,SPC_ATTR_299,0.4495,6.0054
LOT_0045,SPC_ATTR_300,0.8884,6.3301
LOT_0045,SPC_ATTR_301,1.5487,6.5267
LOT_0045,SPC_ATTR_431,159.9873,3.9258
LOT_0045,SPC_ATTR_432,154.0144,3.6174
LOT_0045,SPC_ATTR_435,137.644,3.6035
LOT_0045,SPC_ATTR_436,135.41,3.6672
LOT_0045,SPC_ATTR_437,133.4481,3.6442
LOT_0045,SPC_ATTR_561,0.2525,3.491
LOT_0047,SPC_ATTR_022,-3281.0,3.729
LOT_0047,SPC_ATTR_023,1523.25,-3.9801
LOT_0047,SPC_ATTR_026,0.4397,-4.3026
LOT_0047,SPC_ATTR_027,0.8885,-5.5409
LOT_0047,SPC_ATTR_028,1.4655,-4.1576
LOT_0047,SPC_ATTR_039,88.2425,3.147
LOT_0047,SPC_ATTR_151,20.684,4.2783
LOT_0047,SPC_ATTR_160,7600.0,6.8332
LOT_0047,SPC_ATTR_161,3290.0,4.7575
LOT_0047,SPC_ATTR_164,0.901,6.2366
LOT_0047,SPC_ATTR_165,1.789,6.8488
LOT_0047,SPC_ATTR_166,2.96,6.6481
LOT_0047,SPC_ATTR_286,5.6141,3.6289
LOT_0047,SPC_ATTR_295,3882.2129,7.2957
LOT_0047,SPC_ATTR_296,1770.0986,5.3507
LOT_0047,SPC_ATTR_299,0.5081,6.9178
LOT_0047,SPC_ATTR_300,1.026,7.3819
LOT_0047,SPC_ATTR_301,1.6924,7.1825
LOT_0047,SPC_ATTR_431,231.6367,5.9128
LOT_0047,SPC_ATTR_432,215.9856,5.3201
LOT_0047,SPC_ATTR_435,204.8891,5.5749
LOT_0047,SPC_ATTR_436,201.3506,5.5857
LOT_0047,SPC_ATTR_437,201.9788,5.6273
LOT_0048,SPC_ATTR_002,2788.4,3.6383
LOT_0048,SPC_ATTR_026,0.668,-3.0171
LOT_0048,SPC_ATTR_027,1.3305,-3.2084
LOT_0048,SPC_ATTR_028,2.2195,-3.5516
LOT_0048,SPC_ATTR_039,88.3312,3.3455
LOT_0048,SPC_ATTR_160,7653.0,6.8871
LOT_0048,SPC_ATTR_161,3417.0,4.9784
LOT_0048,SPC_ATTR_164,0.947,6.6137
LOT_0048,SPC_ATTR_165,1.797,6.8817
LOT_0048,SPC_ATTR_166,2.972,6.6776
LOT_0048,SPC_ATTR_295,3307.3123,6.0906
LOT_0048,SPC_ATTR_296,1586.2346,4.7023
LOT_0048,SPC_ATTR_299,0.4471,5.968
LOT_0048,SPC_ATTR_300,0.8875,6.3232
LOT_0048,SPC_ATTR_301,1.4797,6.2119
LOT_0048,SPC_ATTR_431,163.9724,4.0363
LOT_0048,SPC_ATTR_432,150.8276,3.5298
LOT_0048,SPC_ATTR_435,141.7665,3.7243
LOT_0048,SPC_ATTR_436,135.062,3.657
LOT_0048,SPC_ATTR_437,133.904,3.6574
LOT_0049,SPC_ATTR_033,101.9072,8.1763
LOT_0049,SPC_ATTR_034,23.3453,10.6995
LOT_0049,SPC_ATTR_035,57.6663,5.9898
LOT_0049,SPC_ATTR_036,74.7081,3.943
LOT_0049,SPC_ATTR_037,42.3337,-5.9898
LOT_0049,SPC_ATTR_040,126.5662,4.364
LOT_0049,SPC_ATTR_103,0.2263,3.5762
LOT_0051,SPC_ATTR_033,101.9072,8.1763
LOT_0051,SPC_ATTR_034,23.3453,10.6995
LOT_0051,SPC_ATTR_035,57.6663,5.9898
LOT_0051,SPC_ATTR_036,74.7081,3.943
LOT_0051,SPC_ATTR_037,42.3337,-5.9898
LOT_0051,SPC_ATTR_040,126.5662,4.364
LOT_0051,SPC_ATTR_058,0.9362,-3.1166
LOT_0052,SPC_ATTR_022,-2575.5,4.8545
LOT_0052,SPC_ATTR_023,1544.5,-3.9082
LOT_0052,SPC_ATTR_026,0.4373,-4.3161
LOT_0052,SPC_ATTR_027,0.892,-5.5225
LOT_0052,SPC_ATTR_028,1.4932,-4.1354
LOT_0052,SPC_ATTR_039,88.2425,3.147
LOT_0052,SPC_ATTR_151,20.298,4.1593
LOT_0052,SPC_ATTR_160,5391.0,4.5861
LOT_0052,SPC_ATTR_161,3294.0,4.7645
LOT_0052,SPC_ATTR_164,0.891,6.1546
LOT_0052,SPC_ATTR_165,1.795,6.8735
LOT_0052,SPC_ATTR_166,3.0,6.7463
LOT_0052,SPC_ATTR_214,0.4961,8.2171
LOT_0052,SPC_ATTR_286,5.4366,3.4445
LOT_0052,SPC_ATTR_295,2980.3803,5.4052
LOT_0052,SPC_ATTR_296,1791.2725,5.4254
LOT_0052,SPC_ATTR_299,0.5051,6.8711
LOT_0052,SPC_ATTR_300,1.03,7.4124
LOT_0052,SPC_ATTR_301,1.7243,7.328
LOT_0052,SPC_ATTR_352,0.2308,8.2733
LOT_0052,SPC_ATTR_431,209.3186,5.2939
LOT_0052,SPC_ATTR_432,213.2729,5.2456
LOT_0052,SPC_ATTR_435,203.7736,5.5422
LOT_0052,SPC_ATTR_436,201.2332,5.5823
LOT_0052,SPC_ATTR_437,200.9041,5.5962
LOT_0053,SPC_ATTR_065,38.4118,3.5901
LOT_0053,SPC_ATTR_114,0.8991,-3.818
LOT_0053,SPC_ATTR_248,0.2956,3.6218
LOT_0053,SPC_ATTR_520,64.9501,3.3654
LOT_0054,SPC_ATTR_163,31669.0,4.1003
LOT_0054,SPC_ATTR_298,13313.012,3.3996
LOT_0054,SPC_ATTR_360,0.0456,3.6099
LOT_0055,SPC_ATTR_026,0.652,-3.1072
LOT_0055,SPC_ATTR_027,1.3458,-3.1277
LOT_0055,SPC_ATTR_028,2.2767,-3.5057
LOT_0055,SPC_ATTR_039,88.3282,3.3388
LOT_0055,SPC_ATTR_160,7657.0,6.8912
LOT_0055,SPC_ATTR_161,3278.0,4.7366
LOT_0055,SPC_ATTR_164,0.906,6.2776
LOT_0055,SPC_ATTR_165,1.809,6.9312
LOT_0055,SPC_ATTR_166,3.078,6.9378
LOT_0055,SPC_ATTR_220,0.0105,4.4022
LOT_0055,SPC_ATTR_239,0.0141,5.4823
LOT_0055,SPC_ATTR_295,3235.5781,5.9402
LOT_0055,SPC_ATTR_296,1537.8514,4.5316
LOT_0055,SPC_ATTR_299,0.4354,5.7858
LOT_0055,SPC_ATTR_300,0.8974,6.3989
LOT_0055,SPC_ATTR_301,1.5182,6.3876
LOT_0055,SPC_ATTR_358,0.003,3.994
LOT_0055,SPC_ATTR_377,0.0045,5.4288
