alarm_id,feature_name,population_mean,population_std,upper_control_limit,lower_control_limit,total_alarm_count
SPC_ATTR_054,Attribute 54,4.592971,0.05495,4.75782,4.428122,10
SPC_ATTR_055,Attribute 55,4.838523,0.059581,5.017265,4.659781,8
SPC_ATTR_056,Attribute 56,2856.172105,25.749317,2933.420057,2778.924153,5
SPC_ATTR_057,Attribute 57,0.928849,0.006807,0.949271,0.908427,15
SPC_ATTR_058,Attribute 58,0.949215,0.004176,0.961743,0.936687,10
SPC_ATTR_059,Attribute 59,4.593312,0.085095,4.848596,4.338027,12
SPC_ATTR_060,Attribute 60,2.960241,9.53222,31.5569,-25.636417,5
SPC_ATTR_061,Attribute 61,355.159094,6.027889,373.24276,337.075428,6
SPC_ATTR_062,Attribute 62,10.423143,0.274877,11.247774,9.598512,16
SPC_ATTR_063,Attribute 63,116.502329,8.629022,142.389393,90.615264,14
SPC_ATTR_064,Attribute 64,13.989927,7.119863,35.349516,-7.369662,8
SPC_ATTR_065,Attribute 65,20.542109,4.977467,35.474511,5.609707,23
SPC_ATTR_066,Attribute 66,27.131816,7.121703,48.496925,5.766706,17
SPC_ATTR_067,Attribute 67,706.668523,11.623078,741.537758,671.799288,8
SPC_ATTR_068,Attribute 68,16.715444,307.502293,939.222323,-905.791436,4
SPC_ATTR_069,Attribute 69,147.437578,4.240095,160.157863,134.717292,5
SPC_ATTR_071,Attribute 71,619.101687,9.53919,647.719258,590.484115,6
SPC_ATTR_072,Attribute 72,104.329033,31.651899,199.28473,9.373337,40
SPC_ATTR_073,Attribute 73,150.361552,18.388481,205.526996,95.196109,8
SPC_ATTR_074,Attribute 74,468.020404,17.629886,520.910061,415.130747,9
SPC_ATTR_075,Attribute 75,0.002688,0.10619,0.321257,-0.315881,1
SPC_ATTR_076,Attribute 76,-0.006903,0.022292,0.059973,-0.07378,20
SPC_ATTR_077,Attribute 77,-0.02939,0.033203,0.070219,-0.129,6
SPC_ATTR_078,Attribute 78,-0.007041,0.031368,0.087063,-0.101146,5
SPC_ATTR_079,Attribute 79,-0.013643,0.047872,0.129974,-0.157259,5
SPC_ATTR_080,Attribute 80,0.003458,0.02308,0.072697,-0.065781,18
SPC_ATTR_082,Attribute 82,-0.021153,0.017021,0.02991,-0.072217,18
SPC_ATTR_083,Attribute 83,0.006055,0.036074,0.114278,-0.102168,24
SPC_ATTR_084,Attribute 84,7.452067,0.516251,9.000821,5.903312,2
SPC_ATTR_085,Attribute 85,0.133108,0.005051,0.148262,0.117954,6
SPC_ATTR_087,Attribute 87,2.401872,0.037332,2.513867,2.289876,16
SPC_ATTR_088,Attribute 88,0.98242,0.012848,1.020964,0.943877,8
SPC_ATTR_089,Attribute 89,1807.815021,53.537262,1968.426808,1647.203235,7
SPC_ATTR_090,Attribute 90,0.188703,0.052373,0.345822,0.031585,6
SPC_ATTR_091,Attribute 91,8827.536865,396.313662,10016.477851,7638.59588,13
SPC_ATTR_092,Attribute 92,0.00244,0.087683,0.265489,-0.260609,17
SPC_ATTR_093,Attribute 93,0.000507,0.003231,0.0102,-0.009186,28
SPC_ATTR_094,Attribute 94,-0.000541,0.00301,0.008489,-0.00957,42
SPC_ATTR_095,Attribute 95,-2.9e-05,0.000174,0.000493,-0.000552,24
SPC_ATTR_096,Attribute 96,6e-05,0.000104,0.000373,-0.000253,18
SPC_ATTR_097,Attribute 97,0.017127,0.219578,0.675861,-0.641608,23
SPC_ATTR_099,Attribute 99,-0.018143,0.42711,1.263187,-1.299472,19
SPC_ATTR_100,Attribute 100,0.00154,0.06274,0.189761,-0.186681,10
SPC_ATTR_101,Attribute 101,-2.1e-05,0.000356,0.001045,-0.001088,18
SPC_ATTR_102,Attribute 102,-7e-06,0.000221,0.000655,-0.00067,23
SPC_ATTR_103,Attribute 103,0.001115,0.062968,0.190018,-0.187788,16
SPC_ATTR_104,Attribute 104,-0.009789,0.003065,-0.000595,-0.018983,7
SPC_ATTR_105,Attribute 105,-1.5e-05,0.000851,0.002537,-0.002567,10
SPC_ATTR_106,Attribute 106,-0.000498,0.003202,0.009109,-0.010105,29
SPC_ATTR_107,Attribute 107,0.00054,0.002988,0.009503,-0.008424,42
SPC_ATTR_108,Attribute 108,-0.001766,0.087475,0.260658,-0.26419,23
SPC_ATTR_109,Attribute 109,-0.010789,0.086758,0.249485,-0.271062,20
SPC_ATTR_110,Attribute 110,0.979993,0.008695,1.006077,0.953908,1
SPC_ATTR_111,Attribute 111,101.318253,1.880087,106.958515,95.677991,1
SPC_ATTR_112,Attribute 112,231.818898,2.105318,238.134851,225.502944,1
SPC_ATTR_113,Attribute 113,0.457538,0.048939,0.604356,0.310719,10
SPC_ATTR_114,Attribute 114,0.945424,0.012133,0.981823,0.909026,7
SPC_ATTR_115,Attribute 115,0.000123,0.001668,0.005127,-0.004882,8
SPC_ATTR_116,Attribute 116,747.383792,48.94925,894.231541,600.536042,15
SPC_ATTR_117,Attribute 117,0.98713,0.009497,1.015619,0.95864,10
SPC_ATTR_118,Attribute 118,58.625908,6.485174,78.081431,39.170385,1
SPC_ATTR_119,Attribute 119,0.598412,0.008102,0.622716,0.574107,12
SPC_ATTR_120,Attribute 120,0.970777,0.008949,0.997623,0.943931,3
SPC_ATTR_121,Attribute 121,6.310863,0.124304,6.683776,5.93795,24
SPC_ATTR_122,Attribute 122,15.796425,0.099618,16.095278,15.497572,5
SPC_ATTR_123,Attribute 123,3.89839,0.90412,6.610751,1.186028,6
SPC_ATTR_124,Attribute 124,15.82966,0.108315,16.154605,15.504715,7
SPC_ATTR_125,Attribute 125,15.794705,0.114144,16.137136,15.452274,2
SPC_ATTR_126,Attribute 126,1.184956,0.280555,2.02662,0.343292,17
SPC_ATTR_127,Attribute 127,2.750728,0.253471,3.511141,1.990316,26
SPC_ATTR_128,Attribute 128,0.648478,0.135409,1.054704,0.242251,6
SPC_ATTR_129,Attribute 129,3.192182,0.264175,3.984706,2.399659,5
SPC_ATTR_131,Attribute 131,0.744976,0.082531,0.99257,0.497383,4
SPC_ATTR_132,Attribute 132,0.997808,0.002251,1.00456,0.991057,12
SPC_ATTR_134,Attribute 134,1004.043093,6.537701,1023.656197,984.42999,4
SPC_ATTR_135,Attribute 135,39.391979,2.990476,48.363407,30.42055,5
SPC_ATTR_136,Attribute 136,117.960948,57.544627,290.594829,-54.672934,34
SPC_ATTR_138,Attribute 138,122.692949,52.253015,279.451993,-34.066096,3
SPC_ATTR_139,Attribute 139,57.603025,12.345358,94.639099,20.56695,35
SPC_ATTR_140,Attribute 140,416.766964,263.300614,1206.668806,-373.134878,46
SPC_ATTR_141,Attribute 141,26.077904,506.922106,1546.844223,-1494.688416,4
SPC_ATTR_143,Attribute 143,6.641565,3.552254,17.298327,-4.015198,4
SPC_ATTR_144,Attribute 144,0.004169,0.001282,0.008015,0.000324,17
SPC_ATTR_145,Attribute 145,0.120008,0.061343,0.304036,-0.06402,37
SPC_ATTR_146,Attribute 146,0.063621,0.026541,0.143243,-0.016,30
SPC_ATTR_147,Attribute 147,0.05501,0.021844,0.120543,-0.010523,26
SPC_ATTR_148,Attribute 148,0.017411,0.027123,0.09878,-0.063958,4
SPC_ATTR_149,Attribute 149,8.471308,18.740631,64.693201,-47.750585,1
SPC_ATTR_151,Attribute 151,6.814268,3.241843,16.539796,-2.91126,23
SPC_ATTR_152,Attribute 152,14.047403,31.002541,107.055026,-78.960221,12
SPC_ATTR_153,Attribute 153,1.196733,23.364063,71.288922,-68.895455,1
SPC_ATTR_154,Attribute 154,0.011926,0.009346,0.039964,-0.016111,8
SPC_ATTR_155,Attribute 155,7.697971,5.239219,23.415628,-8.019686,2
SPC_ATTR_156,Attribute 156,0.507171,1.122427,3.874452,-2.860109,18
SPC_ATTR_157,Attribute 157,0.058089,0.079174,0.295612,-0.179435,7
SPC_ATTR_158,Attribute 158,0.047104,0.039538,0.165717,-0.071509,3
SPC_ATTR_159,Attribute 159,1039.650738,406.84881,2260.197169,-180.895693,1
SPC_ATTR_160,Attribute 160,882.680511,983.043021,3831.809576,-2066.448553,35
SPC_ATTR_161,Attribute 161,555.346326,574.808588,2279.772091,-1169.079439,54
SPC_ATTR_162,Attribute 162,4066.850479,4239.245058,16784.585653,-8650.884694,31
SPC_ATTR_163,Attribute 163,4797.154633,6553.569317,24457.862584,-14863.553319,29
SPC_ATTR_164,Attribute 164,0.140204,0.121989,0.506171,-0.225762,32
SPC_ATTR_165,Attribute 165,0.127942,0.242534,0.855543,-0.599658,32
SPC_ATTR_166,Attribute 166,0.252026,0.407329,1.474014,-0.969962,31
SPC_ATTR_167,Attribute 167,2.788882,1.119756,6.14815,-0.570386,8
SPC_ATTR_168,Attribute 168,1.235783,0.632767,3.134083,-0.662518,3
SPC_ATTR_169,Attribute 169,0.124397,0.047639,0.267313,-0.018519,10
SPC_ATTR_170,Attribute 170,0.400454,0.197918,0.994207,-0.193299,3
SPC_ATTR_172,Attribute 172,0.120064,0.060785,0.302419,-0.06229,25
SPC_ATTR_173,Attribute 173,0.320113,0.071243,0.533842,0.106383,1
SPC_ATTR_174,Attribute 174,0.576192,0.095734,0.863394,0.28899,10
SPC_ATTR_175,Attribute 175,0.320113,0.071247,0.533853,0.106372,1
SPC_ATTR_176,Attribute 176,0.778044,0.116322,1.12701,0.429077,6
SPC_ATTR_178,Attribute 178,0.39476,0.282903,1.243469,-0.453949,6
SPC_ATTR_181,Attribute 181,19.013257,3.311632,28.948154,9.078359,6
SPC_ATTR_182,Attribute 182,0.54677,0.224402,1.219975,-0.126435,5
SPC_ATTR_183,Attribute 183,10.780543,4.164051,23.272695,-1.711609,4
SPC_ATTR_184,Attribute 184,26.66117,6.836101,47.169473,6.152868,9
SPC_ATTR_185,Attribute 185,0.144815,0.110198,0.475409,-0.185778,6
SPC_ATTR_186,Attribute 186,7.365741,7.18872,28.931902,-14.20042,3
SPC_ATTR_188,Attribute 188,17.93629,8.609912,43.766025,-7.893445,3
SPC_ATTR_189,Attribute 189,43.211418,21.711876,108.347046,-21.92421,3
SPC_ATTR_196,Attribute 196,0.287084,0.395187,1.472645,-0.898476,11
SPC_ATTR_197,Attribute 197,8.688487,15.720926,55.851266,-38.474291,7
SPC_ATTR_198,Attribute 198,20.09271,10.552162,51.749195,-11.563775,8
SPC_ATTR_199,Attribute 199,0.557359,0.537705,2.170474,-1.055757,8
SPC_ATTR_200,Attribute 200,11.532056,16.445556,60.868724,-37.804612,7
SPC_ATTR_201,Attribute 201,17.600192,8.690718,43.672348,-8.471963,4
SPC_ATTR_202,Attribute 202,7.839359,5.104495,23.152844,-7.474126,10
SPC_ATTR_203,Attribute 203,10.170463,14.622904,54.039177,-33.69825,7
SPC_ATTR_204,Attribute 204,30.073143,17.461798,82.458536,-22.312251,8
SPC_ATTR_205,Attribute 205,32.218169,565.101239,1727.521885,-1663.085547,5
SPC_ATTR_206,Attribute 206,9.050122,11.541083,43.67337,-25.573126,7
SPC_ATTR_207,Attribute 207,0.001281,0.050621,0.153143,-0.150581,1
SPC_ATTR_208,Attribute 208,20.376176,17.497556,72.868845,-32.116494,6
SPC_ATTR_209,Attribute 209,73.264316,28.067143,157.465745,-10.937112,7
SPC_ATTR_210,Attribute 210,0.029564,1.168074,3.533786,-3.474657,1
SPC_ATTR_211,Attribute 211,0.088866,0.042065,0.215059,-0.037328,28
SPC_ATTR_212,Attribute 212,0.056755,0.025005,0.13177,-0.01826,23
SPC_ATTR_213,Attribute 213,0.051432,0.031578,0.146165,-0.043301,20
SPC_ATTR_214,Attribute 214,0.060346,0.05303,0.219435,-0.098743,9
SPC_ATTR_215,Attribute 215,0.083268,0.056456,0.252635,-0.086099,24
SPC_ATTR_216,Attribute 216,0.081076,0.030437,0.172386,-0.010235,6
SPC_ATTR_217,Attribute 217,0.083484,0.025764,0.160776,0.006191,11
SPC_ATTR_218,Attribute 218,0.071635,0.046283,0.210486,-0.067215,11
SPC_ATTR_219,Attribute 219,3.771465,1.170436,7.282774,0.260157,10
SPC_ATTR_220,Attribute 220,0.003254,0.001646,0.008192,-0.001684,38
SPC_ATTR_221,Attribute 221,0.009213,0.001989,0.01518,0.003246,1
SPC_ATTR_222,Attribute 222,0.060718,0.023305,0.130633,-0.009198,7
SPC_ATTR_223,Attribute 223,0.008821,0.055937,0.176631,-0.158989,8
SPC_ATTR_224,Attribute 224,122.846571,55.156003,288.314579,-42.621437,1
SPC_ATTR_225,Attribute 225,0.05937,0.071211,0.273004,-0.154263,25
SPC_ATTR_226,Attribute 226,1041.056588,433.170076,2340.566815,-258.45364,18
SPC_ATTR_228,Attribute 228,0.019125,0.010756,0.051392,-0.013142,27
SPC_ATTR_229,Attribute 229,0.017844,0.010745,0.050079,-0.01439,20
SPC_ATTR_239,Attribute 239,0.004791,0.001698,0.009885,-0.000302,11
SPC_ATTR_240,Attribute 240,0.004575,0.001441,0.008899,0.000251,11
SPC_ATTR_245,Attribute 245,0.005755,0.084618,0.259608,-0.248098,1
SPC_ATTR_246,Attribute 246,1.729723,4.335614,14.736566,-11.277119,1
SPC_ATTR_247,Attribute 247,4.148742,10.045084,34.283993,-25.98651,1
SPC_ATTR_248,Attribute 248,0.053374,0.06688,0.254014,-0.147267,17
SPC_ATTR_249,Attribute 249,0.025171,0.049235,0.172876,-0.122534,6
SPC_ATTR_250,Attribute 250,0.001065,0.015771,0.048378,-0.046247,7
SPC_ATTR_251,Attribute 251,109.650967,54.597274,273.442789,-54.140855,6
SPC_ATTR_252,Attribute 252,0.004285,0.037472,0.116702,-0.108133,5
SPC_ATTR_253,Attribute 253,4.645115,64.354756,197.709382,-188.419152,1
SPC_ATTR_254,Attribute 254,0.033216,0.022425,0.100492,-0.034059,4
SPC_ATTR_255,Attribute 255,0.013943,0.009132,0.04134,-0.013453,5
SPC_ATTR_256,Attribute 256,0.403848,0.120334,0.764851,0.042846,4
SPC_ATTR_270,Attribute 270,3.777866,1.152329,7.234853,0.320878,17
SPC_ATTR_271,Attribute 271,29.260291,8.402013,54.466328,4.054253,20
SPC_ATTR_272,Attribute 272,46.056598,17.866438,99.655911,-7.542715,1
SPC_ATTR_273,Attribute 273,41.298147,17.737513,94.510687,-11.914392,2
SPC_ATTR_274,Attribute 274,20.181246,3.830463,31.672634,8.689859,21
SPC_ATTR_275,Attribute 275,136.292426,85.607784,393.115779,-120.530928,51
SPC_ATTR_276,Attribute 276,8.693213,168.949413,515.541451,-498.155025,4
SPC_ATTR_278,Attribute 278,2.210744,1.196437,5.800056,-1.378567,4
SPC_ATTR_279,Attribute 279,0.001117,0.00034,0.002138,9.7e-05,12
SPC_ATTR_280,Attribute 280,0.041057,0.020289,0.101924,-0.019811,35
SPC_ATTR_281,Attribute 281,0.018034,0.006483,0.037483,-0.001415,28
SPC_ATTR_282,Attribute 282,0.015094,0.005545,0.031731,-0.001542,30
SPC_ATTR_283,Attribute 283,0.00577,0.00855,0.031421,-0.019881,4
SPC_ATTR_284,Attribute 284,2.803984,5.864324,20.396956,-14.788987,1
SPC_ATTR_286,Attribute 286,2.119795,0.962923,5.008564,-0.768973,20
SPC_ATTR_287,Attribute 287,4.260018,9.763829,33.551506,-25.03147,11
SPC_ATTR_288,Attribute 288,0.367529,7.386343,22.526558,-21.791499,1
SPC_ATTR_289,Attribute 289,0.003924,0.002936,0.012732,-0.004885,9
SPC_ATTR_290,Attribute 290,2.578596,1.616993,7.429576,-2.272384,1
SPC_ATTR_291,Attribute 291,0.123427,0.270987,0.936388,-0.689534,17
SPC_ATTR_292,Attribute 292,0.019926,0.025549,0.096573,-0.05672,7
SPC_ATTR_293,Attribute 293,0.014487,0.011494,0.048968,-0.019994,3
SPC_ATTR_294,Attribute 294,335.551157,137.692483,748.628606,-77.526293,2
SPC_ATTR_295,Attribute 295,401.81475,477.050076,1832.964979,-1029.335478,33
SPC_ATTR_296,Attribute 296,252.999118,283.530702,1103.591224,-597.592987,54
SPC_ATTR_297,Attribute 297,1879.228369,1975.111365,7804.562465,-4046.105727,37
SPC_ATTR_298,Attribute 298,2342.826978,3226.924298,12023.599872,-7337.945916,28
SPC_ATTR_299,Attribute 299,0.063804,0.064225,0.256479,-0.12887,32
SPC_ATTR_300,Attribute 300,0.060267,0.130825,0.452743,-0.332209,32
SPC_ATTR_301,Attribute 301,0.118386,0.219147,0.775828,-0.539055,31
SPC_ATTR_302,Attribute 302,0.910146,0.331982,1.906091,-0.085799,10
SPC_ATTR_303,Attribute 303,0.403342,0.197514,0.995884,-0.1892,4
SPC_ATTR_304,Attribute 304,0.040344,0.014511,0.083876,-0.003188,6
SPC_ATTR_305,Attribute 305,0.132076,0.064867,0.326679,-0.062526,1
SPC_ATTR_306,Attribute 306,0.264917,0.057387,0.437079,0.092754,2
SPC_ATTR_307,Attribute 307,0.048623,0.0254,0.124823,-0.027577,28
SPC_ATTR_309,Attribute 309,0.218414,0.033593,0.319194,0.117635,16
SPC_ATTR_311,Attribute 311,0.304752,0.04346,0.435131,0.174372,1
SPC_ATTR_313,Attribute 313,0.160051,0.117316,0.511998,-0.191896,6
SPC_ATTR_317,Attribute 317,5.976977,1.018629,9.032865,2.921089,10
SPC_ATTR_318,Attribute 318,0.172629,0.072392,0.389806,-0.044548,4
SPC_ATTR_319,Attribute 319,3.18877,1.21593,6.83656,-0.459019,4
SPC_ATTR_320,Attribute 320,7.916036,2.179059,14.453212,1.37886,3
SPC_ATTR_321,Attribute 321,0.043105,0.031885,0.138759,-0.052549,6
SPC_ATTR_322,Attribute 322,2.263727,2.116994,8.614711,-4.087256,3
SPC_ATTR_324,Attribute 324,5.39342,2.518859,12.949998,-2.163158,3
SPC_ATTR_325,Attribute 325,13.332172,6.61585,33.17972,-6.515377,6
SPC_ATTR_332,Attribute 332,0.083232,0.063425,0.273505,-0.107042,11
SPC_ATTR_333,Attribute 333,2.593485,5.645226,19.529162,-14.342193,8
SPC_ATTR_334,Attribute 334,6.215866,3.403447,16.426206,-3.994475,8
SPC_ATTR_335,Attribute 335,0.168364,0.172883,0.687012,-0.350284,8
SPC_ATTR_336,Attribute 336,3.426925,5.781558,20.771601,-13.91775,6
SPC_ATTR_337,Attribute 337,9.736386,7.556131,32.404779,-12.932006,9
SPC_ATTR_338,Attribute 338,2.327482,1.699435,7.425786,-2.770823,5
SPC_ATTR_339,Attribute 339,3.03758,5.645022,19.972646,-13.897486,6
SPC_ATTR_340,Attribute 340,9.328958,6.074702,27.553064,-8.895148,7
SPC_ATTR_341,Attribute 341,14.673507,261.738451,799.888861,-770.541848,5
SPC_ATTR_342,Attribute 342,2.732094,3.667902,13.7358,-8.271612,7
SPC_ATTR_343,Attribute 343,0.000286,0.011319,0.034243,-0.03367,1
SPC_ATTR_344,Attribute 344,6.198508,5.371825,22.313983,-9.916967,6
SPC_ATTR_345,Attribute 345,23.217146,8.895221,49.902809,-3.468517,11
SPC_ATTR_346,Attribute 346,7.958376,17.512965,60.497272,-44.58052,13
SPC_ATTR_347,Attribute 347,5.770212,17.077498,57.002706,-45.462283,13
SPC_ATTR_348,Attribute 348,0.008914,0.352186,1.065473,-1.047645,1
SPC_ATTR_349,Attribute 349,0.024706,0.011862,0.060293,-0.010882,24
SPC_ATTR_350,Attribute 350,0.025252,0.010603,0.057062,-0.006557,23
SPC_ATTR_351,Attribute 351,0.023202,0.014326,0.066179,-0.019775,18
SPC_ATTR_352,Attribute 352,0.027584,0.024563,0.101273,-0.046105,9
SPC_ATTR_353,Attribute 353,0.023356,0.013157,0.062827,-0.016116,23
SPC_ATTR_354,Attribute 354,0.040331,0.015499,0.086828,-0.006167,4
SPC_ATTR_355,Attribute 355,0.041921,0.013068,0.081125,0.002717,10
SPC_ATTR_356,Attribute 356,0.034543,0.022307,0.101463,-0.032377,12
SPC_ATTR_357,Attribute 357,1.298629,0.386918,2.459381,0.137876,13
SPC_ATTR_358,Attribute 358,0.000999,0.000501,0.002502,-0.000504,32
SPC_ATTR_359,Attribute 359,0.002443,0.000395,0.003627,0.001259,1
SPC_ATTR_360,Attribute 360,0.01984,0.007136,0.041249,-0.001569,11
SPC_ATTR_361,Attribute 361,0.002945,0.020003,0.062953,-0.057063,7
SPC_ATTR_362,Attribute 362,39.936406,17.056304,91.105318,-11.232506,1
SPC_ATTR_363,Attribute 363,0.018383,0.021644,0.083315,-0.046549,25
SPC_ATTR_364,Attribute 364,333.319601,138.801928,749.725385,-83.086183,15
SPC_ATTR_366,Attribute 366,0.005199,0.002656,0.013167,-0.00277,21
SPC_ATTR_367,Attribute 367,0.004814,0.002382,0.011961,-0.002333,21
SPC_ATTR_368,Attribute 368,0.003773,0.002699,0.011871,-0.004324,20
SPC_ATTR_369,Attribute 369,0.003172,0.002107,0.009492,-0.003148,22
SPC_ATTR_377,Attribute 377,0.001601,0.000534,0.003204,-2e-06,7
SPC_ATTR_378,Attribute 378,0.001571,0.000467,0.00297,0.000171,5
SPC_ATTR_383,Attribute 383,0.001826,0.02674,0.082046,-0.078394,1
SPC_ATTR_384,Attribute 384,0.54104,1.34102,4.564099,-3.482019,1
SPC_ATTR_385,Attribute 385,1.285448,3.168427,10.79073,-8.219834,1
SPC_ATTR_386,Attribute 386,0.011427,0.014366,0.054524,-0.03167,17
SPC_ATTR_387,Attribute 387,0.008281,0.015488,0.054745,-0.038184,6
SPC_ATTR_388,Attribute 388,0.000339,0.004989,0.015307,-0.014629,7
SPC_ATTR_389,Attribute 389,35.155091,17.227003,86.836101,-16.525919,6
SPC_ATTR_390,Attribute 390,0.001338,0.011816,0.036786,-0.03411,5
SPC_ATTR_391,Attribute 391,1.431868,20.326415,62.411113,-59.547378,1
SPC_ATTR_392,Attribute 392,0.010956,0.006738,0.031169,-0.009257,7
SPC_ATTR_393,Attribute 393,0.004533,0.002956,0.013399,-0.004334,4
SPC_ATTR_394,Attribute 394,0.13399,0.038408,0.249215,0.018764,3
SPC_ATTR_408,Attribute 408,1.231997,0.364711,2.326131,0.137864,15
SPC_ATTR_409,Attribute 409,5.340932,2.578118,13.075285,-2.393421,34
SPC_ATTR_411,Attribute 411,4.929344,2.122978,11.298278,-1.43959,2
SPC_ATTR_412,Attribute 412,2.616086,0.551474,4.270509,0.961664,34
SPC_ATTR_413,Attribute 413,30.911316,18.413622,86.152181,-24.329548,31
SPC_ATTR_414,Attribute 414,25.61269,47.308463,167.538078,-116.312699,5
SPC_ATTR_416,Attribute 416,6.630616,3.958371,18.50573,-5.244498,4
SPC_ATTR_417,Attribute 417,3.404349,1.035433,6.510648,0.298049,17
SPC_ATTR_418,Attribute 418,8.190905,4.054515,20.354451,-3.97264,34
SPC_ATTR_421,Attribute 421,1.821261,3.057692,10.994338,-7.351815,4
SPC_ATTR_422,Attribute 422,4.174524,6.913855,24.916089,-16.567042,1
SPC_ATTR_424,Attribute 424,77.660446,32.596933,175.451245,-20.130353,21
SPC_ATTR_425,Attribute 425,3.315469,6.325365,22.291564,-15.660627,13
SPC_ATTR_426,Attribute 426,6.796312,23.257716,76.569459,-62.976834,2
SPC_ATTR_427,Attribute 427,1.233858,0.99562,4.220718,-1.753003,8
SPC_ATTR_428,Attribute 428,4.058501,3.042144,13.184934,-5.067933,1
SPC_ATTR_429,Attribute 429,4.220747,10.63273,36.118938,-27.677443,17
SPC_ATTR_430,Attribute 430,4.171844,6.43539,23.478015,-15.134328,7
SPC_ATTR_431,Attribute 431,18.4216,36.060084,126.601853,-89.758653,32
SPC_ATTR_432,Attribute 432,22.358305,36.395408,131.544528,-86.827918,32
SPC_ATTR_433,Attribute 433,99.367633,126.188715,477.933778,-279.198512,35
SPC_ATTR_434,Attribute 434,205.519304,225.77887,882.855915,-471.817306,30
SPC_ATTR_435,Attribute 435,14.733945,34.108854,117.060508,-87.592617,32
SPC_ATTR_436,Attribute 436,9.370666,34.369789,112.480032,-93.738701,32
SPC_ATTR_437,Attribute 437,7.513266,34.557804,111.186678,-96.160145,32
SPC_ATTR_438,Attribute 438,4.016785,1.611274,8.850607,-0.817036,7
SPC_ATTR_439,Attribute 439,54.701052,34.108051,157.025206,-47.623102,7
SPC_ATTR_440,Attribute 440,70.643942,38.376178,185.772475,-44.484591,7
